First_Name,Last_Name,Name,pos,secondpos,Height,Weight,BirthDay,BirthMonth,Birth Year,Hand,DraftYear,Ovr,Cls,Med,3PT,Finish,Technic,Defense,Url
Michael,Jordan,Michael Jordan,SG,SF,198,216,17,2,1979,Right hand,1984,38,100,100,60,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Kobe,Bryant,Kobe Bryant,SG,-,198,205,23,8,1983,Right hand,1996,39,100,80,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/977.png
Oscar,Robertson,Oscar Robertson,PG,SG,196,210,24,11,1990,Right hand,1960,40,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Paul,Pierce,Paul Pierce,SF,SG,201,235,13,10,1983,Right hand,1998,41,100,100,100,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/1718.png
Kobe,Bryant,Kobe Bryant,SG,SF,198,205,23,8,1991,Right hand,1996,42,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/977.png
James,Harden,James Harden,SG,PG,196,220,26,8,1983,Left hand,2009,43,100,100,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/201935.png
Dirk,Nowitzki,Dirk Nowitzki,PF,C,213,245,19,6,1988,Right hand,1998,44,100,80,100,60,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/1717.png
Reggie,Miller,Reggie Miller,SG,-,201,185,24,8,1983,Right hand,1947,45,80,100,100,100,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/397.png
Luka,Doncic,Luka Doncic,PG,SG,205,228,28,2,1993,Right hand,2018,46,100,100,100,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/1629029.png
LeBron,James,LeBron James,SF,PF,203,250,30,12,1982,Right hand,2003,47,100,80,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/2544.png
Paul,Pierce,Paul Pierce,SG,SF,201,235,13,10,1989,Right hand,1998,48,100,100,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/1718.png
Kobe,Bryant,Kobe Bryant,SG,-,198,205,23,8,1979,Right hand,1996,49,100,100,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/977.png
Kiki,Vandeweghe,Kiki Vandeweghe,PF,SF,203,220,19,6,1988,Right hand,1998,50,100,100,100,80,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Kiki,Vandeweghe,Kiki Vandeweghe,PF,SF,203,220,19,6,1990,Right hand,1998,50,100,100,100,80,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Magic,Johnson,Magic Johnson,PG,SG,206,220,14,8,1988,Right hand,1979,52,100,80,60,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/77142.png
Tracy,McGrady,Tracy McGrady,SG,SF,203,223,24,5,1990,Right hand,1997,53,100,80,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/1503.png
Stephen,Curry,Stephen Curry,PG,SG,191,185,14,3,1988,Right hand,2009,54,100,100,100,80,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/201939.png
Larry,Bird,Larry Bird,SF,PF,206,220,7,12,1990,Right hand,1979,55,80,80,100,80,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/1449.png
Glen,Rice,Glen Rice,SF,-,201,215,28,5,1984,Right hand,1947,56,100,100,100,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Glen,Rice,Glen Rice,SF,-,201,215,28,5,1984,Right hand,1947,56,100,100,100,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Kevin,Garnett,Kevin Garnett,PF,C,211,220,19,5,1989,Right hand,1995,57,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/708.png
Clyde,Drexler,Clyde Drexler,SG,SF,201,210,22,6,1982,Right hand,1983,58,80,80,100,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/17.png
Anfernee,Hardaway,Anfernee Hardaway,PG,SG,201,195,18,7,1989,Right hand,1993,59,80,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/358.png
Larry,Bird,Larry Bird,SF,PF,206,220,7,12,1978,Right hand,1979,60,80,80,100,80,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/1449.png
Giannis,Antetokounmpo,Giannis Antetokounmpo,PF,SF,211,215,16,12,1989,Right hand,2013,61,100,80,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/203507.png
Mitch,Richmond,Mitch Richmond,SG,SF,196,215,30,6,1983,Right hand,1988,62,100,100,100,100,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/782.png
Mitch,Richmond,Mitch Richmond,SG,SF,196,215,30,6,1982,Right hand,1988,62,100,100,100,100,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/782.png
Shawn,Marion,Shawn Marion,SF,PF,201,220,7,5,1989,Right hand,1999,64,80,80,100,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Alex,English,Alex English,SF,-,201,190,22,8,1985,Right hand,1947,65,100,100,60,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Oscar,Schmidt,Oscar Schmidt,SF,SG,206,225,16,2,1988,Right hand,1947,66,100,100,100,60,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Michael,Jordan,Michael Jordan,SG,SF,198,195,17,2,1991,Right hand,1984,67,100,60,60,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Chauncey,Billups,Chauncey Billups,PG,-,191,202,25,9,1986,Right hand,1997,68,100,100,100,80,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Ray,Allen,Ray Allen,SG,PG,196,205,20,7,1988,Right hand,1996,69,80,100,100,80,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Ray,Allen,Ray Allen,SG,PG,196,205,20,7,1981,Right hand,1996,70,80,100,100,80,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Klay,Thompson,Klay Thompson,SG,SF,201,205,8,2,1984,Right hand,2011,71,100,100,100,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/202691.png
Dominique,Wilkins,Dominique Wilkins,SF,SG,201,200,12,1,1983,Right hand,1982,72,100,80,60,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Kobe,Bryant,Kobe Bryant,SG,SF,198,205,23,8,1992,Right hand,1996,73,100,80,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/977.png
Karl-Anthony,Towns,Karl-Anthony Towns,C,PF,211,250,15,11,1989,Right hand,2015,74,100,80,100,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/1626157.png
Clyde,Drexler,Clyde Drexler,SG,SF,201,210,22,6,1985,Right hand,1983,75,100,100,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/17.png
Rashard,Lewis,Rashard Lewis,PF,SF,208,230,8,8,1984,Right hand,1998,76,80,100,100,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Ray,Allen,Ray Allen,SG,PG,196,205,20,7,1988,Right hand,1996,77,80,80,100,100,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
LeBron,James,LeBron James,SF,PF,203,250,30,12,1985,Right hand,2003,78,80,80,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/2544.png
Mitch,Richmond,Mitch Richmond,SG,SF,196,215,30,6,1988,Right hand,1988,79,100,100,100,100,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/782.png
Anthony,Davis,Anthony Davis,PF,C,211,238,11,3,1987,Right hand,2012,80,80,80,80,100,80,100,https://cdn.nba.com/headshots/nba/latest/260x190/203076.png
Dirk,Nowitzki,Dirk Nowitzki,SF,PF,213,245,19,6,1991,Right hand,1998,81,100,100,80,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/1717.png
Kobe,Bryant,Kobe Bryant,SG,SF,198,205,23,8,1988,Right hand,1996,82,100,80,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/977.png
Arvydas,Sabonis,Arvydas Sabonis,C,-,221,279,19,12,1978,Right hand,1947,83,80,60,80,80,80,100,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Tobias,Harris,Tobias Harris,SF,PF,206,235,15,7,1986,Right hand,2011,84,100,100,100,100,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/202699.png
Chris,Mullin,Chris Mullin,SF,SG,201,215,30,7,1986,Left hand,1985,85,100,100,100,60,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/904.png
LeBron,James,LeBron James,SF,PF,203,250,30,12,1986,Right hand,2003,86,80,80,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/2544.png
Clyde,Drexler,Clyde Drexler,SG,SF,201,210,22,6,1983,Right hand,1983,87,100,100,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/17.png
Kobe,Bryant,Kobe Bryant,SG,SF,198,205,23,8,1990,Right hand,1996,88,100,80,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/977.png
Glen,Rice,Glen Rice,SF,-,201,215,28,5,1987,Right hand,1947,89,100,100,100,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Glen,Rice,Glen Rice,SF,-,201,215,28,5,1987,Right hand,1947,89,100,100,100,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
LeBron,James,LeBron James,SF,PF,203,250,30,12,1990,Right hand,2003,90,100,80,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/2544.png
Dominique,Wilkins,Dominique Wilkins,SF,SG,201,200,12,1,1988,Right hand,1982,91,100,80,60,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Steve,Smith,Steve Smith,SG,-,201,200,31,3,1986,Right hand,1947,92,80,100,100,100,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Shawn,Marion,Shawn Marion,SF,PF,201,220,7,5,1987,Right hand,1999,93,80,80,80,100,80,100,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Vince,Carter,Vince Carter,SG,SF,198,220,26,1,1984,Right hand,1998,94,80,80,100,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/1713.png
LeBron,James,LeBron James,SF,SG,203,250,30,12,1989,Right hand,2003,95,80,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/2544.png
Jerry,West,Jerry West,PG,SG,188,180,28,5,1981,Right hand,1960,96,100,100,100,60,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Shawn,Marion,Shawn Marion,SF,PF,201,228,7,5,1987,Right hand,1999,97,80,80,80,100,80,100,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Danilo,Gallinari,Danilo Gallinari,PF,SF,208,225,8,8,1982,Right hand,2008,98,100,80,100,60,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/201568.png
Nikola,Jokic,Nikola Jokic,C,PF,210,254,19,2,1989,Right hand,2014,99,100,100,80,80,80,100,https://cdn.nba.com/headshots/nba/latest/260x190/203999.png
Jalen,Rose,Jalen Rose,SF,PG,203,210,30,1,1986,Left hand,1947,100,80,80,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/147.png
Cliff,Robinson,Cliff Robinson,SF,PF,208,225,16,12,1980,Right hand,1989,101,80,80,100,100,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Clyde,Drexler,Clyde Drexler,SG,SF,201,210,22,6,1984,Right hand,1983,102,100,80,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/17.png
Rashard,Lewis,Rashard Lewis,SF,PF,208,230,8,8,1988,Right hand,1998,103,80,80,100,100,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Michael,Redd,Michael Redd,SG,SF,198,215,24,8,1985,Left hand,2000,104,100,100,100,100,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Larry,Bird,Larry Bird,PF,SF,206,220,7,12,1986,Right hand,1979,105,100,100,60,40,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/1449.png
Hedo,Turkoglu,Hedo Turkoglu,SF,PF,208,220,19,3,1984,Right hand,2000,106,60,100,100,80,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/2045.png
Jerry,West,Jerry West,PG,SG,188,180,28,5,1987,Right hand,1960,107,100,100,100,60,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Vince,Carter,Vince Carter,SG,SF,198,220,26,1,1990,Right hand,1998,108,80,80,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/1713.png
Jayson,Tatum,Jayson Tatum,PF,-,204,205,3,3,1992,Right hand,2017,109,80,80,80,100,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/1628369.png
Rudy,Gay,Rudy Gay,PF,SF,203,230,17,8,1980,Right hand,2006,110,100,100,80,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/200752.png
Joel,Embiid,Joel Embiid,C,-,213,280,16,3,1988,Right hand,2014,111,100,80,60,100,80,100,https://cdn.nba.com/headshots/nba/latest/260x190/203954.png
Anfernee,Hardaway,Anfernee Hardaway,PG,SG,201,195,18,7,1990,Right hand,1993,112,100,80,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/358.png
Kevin,Garnett,Kevin Garnett,PF,C,211,220,19,5,1986,Right hand,1995,113,100,100,60,80,80,100,https://cdn.nba.com/headshots/nba/latest/260x190/708.png
LeBron,James,LeBron James,SF,PF,203,250,30,12,1986,Right hand,2003,114,80,80,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/2544.png
Sergei,Belov,Sergei Belov,SG,SF,191,180,23,1,1988,Right hand,1947,115,100,100,100,100,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Julius,Erving,Julius Erving,SF,SG,198,200,22,2,1988,Right hand,1976,116,80,80,60,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/76681.png
Len,Bias,Len Bias,SF,PF,203,210,18,11,1991,Right hand,1986,117,80,100,80,100,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Bernard,King,Bernard King,SF,-,203,205.4,4,12,1985,Right hand,1947,118,100,100,60,100,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Rashard,Lewis,Rashard Lewis,SF,PF,208,230,8,8,1991,Right hand,1998,119,80,60,100,100,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Lou,Hudson,Lou Hudson,SF,SG,196,210,11,7,1987,Right hand,1966,120,100,100,80,100,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Dan,Issel,Dan Issel,C,PF,206,235,19,6,1980,Right hand,1998,121,100,100,60,80,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Pascal,Siakam,Pascal Siakam,PF,-,206,230,6,2,1988,Right hand,2016,122,100,100,80,100,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/1627783.png
Elgin,Baylor,Elgin Baylor,SF,PF,196,225,16,9,1983,Right hand,1958,123,100,80,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/76127.png
Rasheed,Wallace,Rasheed Wallace,PF,C,211,230,17,9,1988,Right hand,1947,124,100,100,80,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/739.png
Chris,Mullin,Chris Mullin,SF,SG,201,215,30,7,1984,Left hand,1985,125,100,100,100,40,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/904.png
Scottie,Pippen,Scottie Pippen,SF,SG,203,228,25,9,1983,Right hand,1987,126,80,80,100,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/937.png
Rasheed,Wallace,Rasheed Wallace,PF,C,211,230,17,9,1984,Right hand,1947,127,100,100,80,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/739.png
Carmelo,Anthony,Carmelo Anthony,SF,PF,203,230,29,5,1990,Right hand,2003,128,100,100,60,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/2546.png
Brent,Barry,Brent Barry,SG,SF,201,212,31,12,1983,Right hand,1995,129,60,80,100,100,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/699.png
Glen,Rice,Glen Rice,SF,-,201,215,28,5,1981,Right hand,1947,130,100,100,100,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Glen,Rice,Glen Rice,SF,-,201,215,28,5,1981,Right hand,1947,130,100,100,100,80,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Michael,Finley,Michael Finley,SG,SF,201,215,6,3,1986,Right hand,1947,131,100,100,80,80,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Glenn,Robinson,Glenn Robinson,SF,-,201,225,10,1,1985,Right hand,1947,132,80,80,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Brook,Lopez,Brook Lopez,C,-,213,275,1,4,1982,Right hand,2008,133,100,100,80,60,60,80,https://cdn.nba.com/headshots/nba/latest/260x190/201572.png
Peja,Stojakovic,Peja Stojakovic,SF,SG,208,220,9,6,1989,Right hand,1998,134,60,100,100,40,60,60,https://cdn.nba.com/headshots/nba/latest/260x190/978.png
Charles,Barkley,Charles Barkley,PF,SF,198,252,20,2,1986,Right hand,1984,135,100,100,80,80,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/787.png
Pete,Maravich,Pete Maravich,SG,PG,196,197,22,6,1990,Right hand,1970,136,100,100,80,100,100,40,https://cdn.nba.com/headshots/nba/latest/260x190/77459.png
Pete,Maravich,Pete Maravich,PG,SG,196,197,22,6,1984,Right hand,1970,137,100,100,100,60,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/77459.png
Dwyane,Wade,Dwyane Wade,SG,-,193,220,17,1,1987,Right hand,2003,138,80,80,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/2548.png
Carmelo,Anthony,Carmelo Anthony,SF,PF,203,230,29,5,1991,Right hand,2003,139,100,100,60,100,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/2546.png
Steve,Nash,Steve Nash,PG,-,191,195,7,2,1983,Right hand,1996,140,80,100,100,80,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Kristaps,Porzingis,Kristaps Porzingis,PF,C,221,240,2,8,1989,Right hand,2015,141,80,80,80,80,60,80,https://cdn.nba.com/headshots/nba/latest/260x190/204001.png
Scottie,Pippen,Scottie Pippen,SF,SG,203,228,25,9,1983,Right hand,1987,142,80,80,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/937.png
Keith,Van,Keith Van Horn,SF,PF,208,220,21,7,1987,Right hand,1947,143,80,100,80,100,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/1496.png
Peja,Stojakovic,Peja Stojakovic,SF,SG,208,220,9,6,1983,Right hand,1998,144,60,80,100,80,80,40,https://cdn.nba.com/headshots/nba/latest/260x190/978.png
Allan,Houston,Allan Houston,SG,-,198,200,20,4,1984,Right hand,1947,145,100,100,100,80,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/275.png
Larry,Bird,Larry Bird,SF,PF,206,220,7,12,1989,Right hand,1979,146,80,80,60,80,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/1449.png
Adrian,Dantley,Adrian Dantley,SF,SG,196,208,21,8,1986,Right hand,1959,147,100,100,60,100,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Byron,Scott,Byron Scott,SG,PG,193,195,28,3,1988,Right hand,1983,148,80,100,100,100,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Michael,Jordan,Michael Jordan,SG,SF,198,195,17,2,1992,Right hand,2011,149,100,80,60,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Clyde,Drexler,Clyde Drexler,SG,SF,201,210,22,6,1979,Right hand,1983,150,80,80,100,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/17.png
Reggie,Miller,Reggie Miller,SG,-,201,185,24,8,1975,Right hand,1947,151,60,100,100,80,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/397.png
Sam,Jones,Sam Jones,SG,SF,193,198,24,6,1982,Right hand,1957,152,100,100,100,80,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/77196.png
Carmelo,Anthony,Carmelo Anthony,SF,-,203,230,29,5,1993,Right hand,2003,153,100,100,80,80,80,60,https://cdn.nba.com/headshots/nba/latest/260x190/2546.png
Steve,Nash,Steve Nash,PG,-,191,178,7,2,1981,Right hand,1996,154,80,100,100,80,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Chris,Bosh,Chris Bosh,PF,C,211,235,24,3,1989,Left hand,2003,155,100,80,60,80,80,100,https://cdn.nba.com/headshots/nba/latest/260x190/2547.png
Glenn,Robinson,Glenn Robinson,SF,-,201,225,10,1,1989,Right hand,1994,156,80,80,80,100,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Gary,Payton,Gary Payton,PG,SG,193,190,23,7,1980,Right hand,1990,157,100,100,80,80,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/56.png
